"Query"	"NodeId"	"ExtNodeId"	"Loc_start"
"GLKT0ZE01ERL9F"	"195"	"753"	"624"
"GLKT0ZE01D9ZD8"	"195"	"753"	"624"
"GLKT0ZE01DLY0B"	"195"	"753"	"630"
"GLKT0ZE01A689X"	"195"	"753"	"624"
"GLKT0ZE01CIMVH"	"195"	"753"	"617"
"GLKT0ZE01EDYPL"	"195"	"753"	"625"
"GLKT0ZE01EN9ND"	"394"	"853"	"620"
"GLKT0ZE01APF7M"	"195"	"753"	"630"
"GLKT0ZE01AZOZB"	"195"	"753"	"625"
"GLKT0ZE01CCNA8"	"195"	"753"	"601"
"GLKT0ZE01AE27S"	"195"	"753"	"601"
"GLKT0ZE01EMC8I"	"195"	"753"	"611"
"Test3_S000005514_80-206_beginalign_fewseqs"	"653"	"983"	"132"
"GLKT0ZE01CZABU"	"195"	"753"	"620"
"GLKT0ZE01ECJ6B"	"195"	"753"	"610"
"GLKT0ZE01EJGM2"	"195"	"753"	"637"
"GLKT0ZE01CUL5F"	"195"	"753"	"598"
"GLKT0ZE01CHE2M"	"195"	"753"	"624"
"GLKT0ZE01BSUEN"	"195"	"753"	"601"
"GLKT0ZE01DF3K6"	"195"	"753"	"639"
"GLKT0ZE01ED9BC"	"195"	"753"	"624"
"GLKT0ZE01A13JJ"	"195"	"753"	"604"
"GLKT0ZE01A4YIF"	"195"	"753"	"620"
"GLKT0ZE01DAMLZ"	"195"	"753"	"638"
"GLKT0ZE01CEYOR"	"195"	"753"	"624"
"GLKT0ZE01DIYV6"	"195"	"753"	"620"
"GLKT0ZE01EN8WT"	"195"	"753"	"598"
"GLKT0ZE01DLX6F"	"195"	"753"	"611"
"GLKT0ZE01EHCX7"	"195"	"753"	"661"
"GLKT0ZE01ALPZP"	"195"	"753"	"601"
"GLKT0ZE01DXPK6"	"195"	"753"	"624"
"GLKT0ZE01BRDFL"	"195"	"753"	"612"
"GLKT0ZE01AKZ2L"	"195"	"753"	"620"
"GLKT0ZE01BIZ55"	"195"	"753"	"624"
"GLKT0ZE01EZG2N"	"195"	"753"	"600"
"GLKT0ZE01EJ8OJ"	"195"	"753"	"624"
"GLKT0ZE01C4NNB"	"195"	"753"	"620"
"GLKT0ZE01C7MEC"	"195"	"753"	"644"
"GLKT0ZE01DTXCF"	"195"	"753"	"601"
"GLKT0ZE01E1LYN"	"195"	"753"	"624"
"GLKT0ZE01EZQFK"	"195"	"753"	"624"
"GLKT0ZE01BND5T"	"195"	"753"	"643"
"GLKT0ZE01BEBXE"	"195"	"753"	"624"
"GLKT0ZE01EEOTJ"	"195"	"753"	"601"
"GLKT0ZE01A21TD"	"195"	"753"	"624"
"GLKT0ZE01D2YKL"	"195"	"753"	"624"
"GLKT0ZE01CZ1Y0"	"195"	"753"	"646"
"GLKT0ZE01A0S0F"	"195"	"753"	"624"
"GLKT0ZE01BOZYD"	"195"	"753"	"638"
