node_label;node_id;PPCounter;log10(PP*)
120;76;21;-5.6391496136532195
121;77;21;-4.10634672947177
89;15;21;-4.323581057187013
90;16;21;-3.455768800118864
122;80;21;-5.34051457715581
123;81;21;-4.259702789459942
93;21;21;-3.9796444759198386
124;85;21;-5.82749159427735
125;86;21;-3.3754975486901118
95;25;21;-4.166467129395809
127;90;21;-3.5737291061042122
98;30;21;-5.231818240866754
130;96;21;-4.154071589397331
100;34;21;-5.175191597006694
132;100;21;-4.232280387934098
102;39;21;-4.785861519820441
104;43;21;-5.377383412846232
138;112;21;-4.926363325718622
107;50;21;-3.4102839252152255
140;116;21;-5.415207746239032
109;54;21;-3.3414141535671282
112;59;21;-3.508205820342836
114;63;21;-3.567734502654029
82;1;22;-4.050407586170338
83;2;22;-4.024754545178374
84;3;22;-3.8200244686762113
117;68;22;-5.047529829924687
85;6;22;-4.476679210900552
86;7;22;-4.04668787742786
119;72;22;-5.164697602147185
87;11;22;-4.241538352669697
88;12;22;-3.686787062945231
121;77;22;-4.31221009348095
89;15;22;-4.65617704792048
90;16;22;-3.807680968814723
123;81;22;-4.576331911007825
93;21;22;-4.315519531063384
125;86;22;-3.6827997652600315
95;25;22;-4.5318419341774865
127;90;22;-3.900669821623757
98;30;22;-5.784040787744634
130;96;22;-4.422518555269696
100;34;22;-5.835694153085657
132;100;22;-4.47526529200524
102;39;22;-5.299695773987235
104;43;22;-5.746500667783161
138;112;22;-4.756370065117857
107;50;22;-3.730938682337654
140;116;22;-5.021768951527589
109;54;22;-3.6529250159172664
112;59;22;-3.77917022170688
114;63;22;-3.8217256780151185
82;1;23;-4.737126747581538
83;2;23;-4.540537042865823
84;3;23;-4.243220590920492
117;68;23;-5.976611160617358
85;6;23;-4.8171533400535855
86;7;23;-4.200046751595919
87;11;23;-5.139450083256368
88;12;23;-4.303017083701649
121;77;23;-5.096145828250782
89;15;23;-5.479127524831631
154;143;23;-5.614854443185718
90;16;23;-4.377166778536486
123;81;23;-5.276356751365162
156;147;23;-5.602828606667094
93;21;23;-4.879131392032594
125;86;23;-4.38525298928361
95;25;23;-5.042755105292798
126;89;23;-5.961705836373692
127;90;23;-4.254582623463327
130;96;23;-3.8517381062545177
132;100;23;-3.8867406574162713
102;39;23;-5.598566962796094
138;112;23;-4.250584835950197
107;50;23;-4.357501790316452
140;116;23;-4.71800820331845
109;54;23;-4.33283497317263
112;59;23;-4.537722117418884
114;63;23;-4.596792619431783
82;1;24;-2.8588524792738115
83;2;24;-3.454144603699552
84;3;24;-3.298672754174083
148;132;24;-4.056049573693225
85;6;24;-3.509582155838274
86;7;24;-3.195240785004801
87;11;24;-2.6404037943406347
88;12;24;-2.9431849947210873
152;140;24;-5.33211070064614
153;142;24;-3.9352014000012367
